,BEGIN,END,PERIOD_EUR,SITE,fact,KWH,Consum_moy
0,2018-01-01,2018-01-31,"316,46",0001BB,30,2447,81.56666666666666
1,2018-01-02,2018-02-28,"286,82",0001BB,57,2211,38.78947368421053
2,2018-01-03,2018-03-31,"317,32",0001BB,87,2450,28.160919540229884
3,2018-01-04,2018-04-30,"315,00",0001BB,116,2431,20.95689655172414
4,2018-01-05,2018-05-31,"333,37",0001BB,146,2574,17.63013698630137
5,2018-01-06,2018-06-30,"365,27",0001BB,175,2830,16.17142857142857
6,2018-01-07,2018-07-31,"390,39",0001BB,205,3028,14.770731707317074
7,2018-01-08,2018-08-31,"393,99",0001BB,235,3053,12.991489361702127
8,2018-01-09,2018-09-30,"378,35",0001BB,264,2915,11.041666666666666
9,2018-01-10,2018-10-31,"387,05",0001BB,294,2986,10.156462585034014
10,2018-01-11,2018-11-30,"372,47",0001BB,323,2871,8.888544891640867
11,2018-01-12,2018-12-31,"399,30",0001BB,353,3086,8.742209631728045
12,2019-01-01,2019-01-31,"381,40",0001BB,30,3094,103.13333333333334
13,2019-01-02,2019-02-28,"345,87",0001BB,57,2767,48.54385964912281
14,2019-01-03,2019-03-31,"378,18",0001BB,87,3059,35.160919540229884
15,2019-01-04,2019-04-30,"340,84",0001BB,116,2761,23.801724137931036
16,2019-01-05,2019-05-31,"349,26",0001BB,146,2844,19.47945205479452
17,2019-01-06,2019-06-30,"369,19",0001BB,175,3009,17.194285714285716
18,2019-01-07,2019-07-31,"371,20",0001BB,205,3016,14.71219512195122
19,2019-01-08,2019-08-31,"380,42",0001BB,235,3089,13.14468085106383
20,2019-01-09,2019-09-30,"361,36",0001BB,264,2914,11.037878787878787
21,2019-01-10,2019-10-31,"366,70",0001BB,294,2963,10.078231292517007
22,2019-01-11,2019-11-30,"345,89",0001BB,323,2797,8.659442724458204
23,2019-01-12,2019-12-31,"353,08",0001BB,353,2859,8.09915014164306
24,2020-01-01,2020-01-31,"414,93",0001BB,30,2863,95.43333333333334
25,2020-01-02,2020-02-29,"387,22",0001BB,58,2663,45.91379310344828
26,2020-01-03,2020-03-31,"403,25",0001BB,88,2759,31.352272727272727
27,2020-01-04,2020-04-30,"390,79",0001BB,117,2680,22.905982905982906
28,2020-01-05,2020-05-31,"407,48",0001BB,147,2797,19.027210884353742
29,2020-01-06,2020-06-30,"407,77",0001BB,176,2796,15.886363636363637
30,2020-01-07,2020-07-31,"429,09",0001BB,206,2952,14.330097087378642
31,2020-01-08,2020-08-31,"435,98",0001BB,236,3014,12.771186440677965
32,2020-01-09,2020-09-30,"411,97",0001BB,265,2857,10.781132075471698
33,2020-01-10,2020-10-31,"413,41",0001BB,295,2905,9.847457627118644
34,2020-01-11,2020-11-30,"383,02",0001BB,324,2755,8.503086419753087
35,2018-01-01,2018-01-31,"266,43",0001BR,30,2438,81.26666666666667
36,2018-01-02,2018-02-28,"242,33",0001BR,57,2211,38.78947368421053
37,2018-01-03,2018-03-31,"267,95",0001BR,87,2453,28.195402298850574
38,2018-01-04,2018-04-30,"263,78",0001BR,116,2414,20.810344827586206
39,2018-01-05,2018-05-31,"274,62",0001BR,146,2517,17.23972602739726
40,2018-01-06,2018-06-30,"268,63",0001BR,175,2461,14.062857142857142
41,2018-01-07,2018-07-31,"279,26",0001BR,205,2560,12.487804878048781
42,2018-01-08,2018-08-31,"283,07",0001BR,235,2597,11.051063829787234
43,2018-01-09,2018-09-30,"267,99",0001BR,264,2436,9.227272727272727
44,2018-01-10,2018-10-31,"274,50",0001BR,294,2497,8.493197278911564
45,2018-01-11,2018-11-30,"263,82",0001BR,323,2397,7.421052631578948
46,2018-01-12,2018-12-31,"269,69",0001BR,353,2452,6.946175637393767
47,2019-01-01,2019-01-31,"264,03",0001BR,30,2460,82.0
48,2019-01-02,2019-02-28,"239,96",0001BR,57,2229,39.10526315789474
49,2019-01-03,2019-03-31,"265,56",0001BR,87,2475,28.448275862068964
50,2019-01-04,2019-04-30,"258,76",0001BR,116,2410,20.775862068965516
51,2019-01-05,2019-05-31,"268,92",0001BR,146,2508,17.17808219178082
52,2019-01-06,2019-06-30,"270,94",0001BR,175,2529,14.451428571428572
53,2019-01-07,2019-07-31,"277,63",0001BR,205,2593,12.648780487804878
54,2019-01-08,2019-08-31,"278,60",0001BR,235,2603,11.076595744680851
55,2019-01-09,2019-09-30,"277,20",0001BR,264,2595,9.829545454545455
56,2019-01-10,2019-10-31,"288,79",0001BR,294,2708,9.210884353741497
57,2019-01-11,2019-11-30,"277,07",0001BR,323,2595,8.034055727554179
58,2019-01-12,2019-12-31,"282,57",0001BR,353,2648,7.501416430594901
59,2020-01-01,2020-01-31,"330,81",0001BR,30,2600,86.66666666666667
60,2020-01-02,2020-02-29,"311,57",0001BR,58,2445,42.1551724137931
61,2020-01-03,2020-03-31,"330,32",0001BR,88,2609,29.647727272727273
62,2020-01-04,2020-04-30,"332,70",0001BR,117,2629,22.47008547008547
63,2020-01-05,2020-05-31,"345,77",0001BR,147,2735,18.60544217687075
64,2020-01-06,2020-06-30,"339,78",0001BR,176,2687,15.267045454545455
65,2020-01-07,2020-07-31,"360,33",0001BR,206,2854,13.854368932038835
66,2020-01-08,2020-08-31,"364,21",0001BR,236,2886,12.228813559322035
67,2020-01-09,2020-09-30,"348,79",0001BR,265,2761,10.418867924528302
68,2020-01-10,2020-10-31,"353,90",0001BR,295,2802,9.498305084745763
69,2020-01-11,2020-11-30,"338,44",0001BR,324,2677,8.262345679012345
70,2018-01-01,2018-01-31,"268,53",0001KO,30,2179,72.63333333333334
71,2018-01-02,2018-02-28,"243,47",0001KO,57,1971,34.578947368421055
72,2018-01-03,2018-03-31,"269,98",0001KO,87,2191,25.183908045977013
73,2018-01-04,2018-04-30,"291,55",0001KO,116,2370,20.43103448275862
74,2018-01-05,2018-05-31,"324,92",0001KO,146,2647,18.13013698630137
75,2018-01-06,2018-06-30,"323,35",0001KO,175,2634,15.051428571428572
76,2018-01-07,2018-07-31,"343,43",0001KO,205,2799,13.653658536585366
77,2018-01-08,2018-08-31,"356,57",0001KO,235,2908,12.374468085106383
78,2018-01-09,2018-09-30,"307,29",0001KO,264,2483,9.405303030303031
79,2018-01-10,2018-10-31,"284,72",0001KO,294,2297,7.812925170068027
80,2018-01-11,2018-11-30,"264,46",0001KO,323,2130,6.594427244582043
81,2018-01-12,2018-12-31,"308,02",0001KO,353,2489,7.050991501416431
82,2019-01-01,2019-01-31,"364,03",0001KO,30,2679,89.3
83,2019-01-02,2019-02-28,"330,63",0001KO,57,2429,42.6140350877193
84,2019-01-03,2019-03-31,"359,89",0001KO,87,2648,30.436781609195403
85,2019-01-04,2019-04-30,"337,18",0001KO,116,2478,21.362068965517242
86,2019-01-05,2019-05-31,"344,79",0001KO,146,2535,17.363013698630137
87,2019-01-06,2019-06-30,"391,43",0001KO,175,2884,16.48
88,2019-01-07,2019-07-31,"389,82",0001KO,205,2872,14.009756097560976
89,2019-01-08,2019-08-31,"403,99",0001KO,235,2978,12.672340425531916
90,2019-01-09,2019-09-30,"343,99",0001KO,264,2529,9.579545454545455
91,2019-01-10,2019-10-31,"338,38",0001KO,294,2487,8.459183673469388
92,2019-01-11,2019-11-30,"324,62",0001KO,323,2384,7.3808049535603715
93,2019-01-12,2019-12-31,"335,17",0001KO,353,2463,6.977337110481586
94,2020-01-01,2020-01-31,"331,90",0001KO,30,2454,81.8
95,2020-01-02,2020-02-29,"321,70",0001KO,58,2377,40.98275862068966
96,2020-01-03,2020-03-31,"350,71",0001KO,88,2596,29.5
97,2020-01-04,2020-04-30,"365,40",0001KO,117,2675,22.863247863247864
98,2020-01-05,2020-05-31,"375,22",0001KO,147,2781,18.918367346938776
99,2020-01-06,2020-06-30,"402,77",0001KO,176,2989,16.982954545454547
100,2020-01-07,2020-07-31,"446,89",0001KO,206,3322,16.12621359223301
101,2020-01-08,2020-08-31,"418,67",0001KO,236,3109,13.173728813559322
102,2020-01-09,2020-09-30,"392,44",0001KO,265,2911,10.984905660377358
103,2020-01-10,2020-10-31,"370,72",0001KO,295,2747,9.31186440677966
104,2020-01-11,2020-11-30,"354,55",0001KO,324,2625,8.101851851851851
105,2018-01-01,2018-01-31,"310,46",0002BB,30,2376,79.2
106,2018-01-02,2018-02-28,"283,07",0002BB,57,2160,37.89473684210526
107,2018-01-03,2018-03-31,"313,01",0002BB,87,2390,27.471264367816094
108,2018-01-04,2018-04-30,"311,80",0002BB,116,2378,20.5
109,2018-01-05,2018-05-31,"330,93",0002BB,146,2529,17.32191780821918
110,2018-01-06,2018-06-30,"363,65",0002BB,175,2790,15.942857142857143
111,2018-01-07,2018-07-31,"388,77",0002BB,205,2988,14.575609756097561
112,2018-01-08,2018-08-31,"393,19",0002BB,235,3019,12.846808510638297
113,2018-01-09,2018-09-30,"376,62",0002BB,264,2873,10.882575757575758
114,2018-01-10,2018-10-31,"384,79",0002BB,294,2940,10.0
115,2018-01-11,2018-11-30,"369,46",0002BB,323,2821,8.73374613003096
116,2018-01-12,2018-12-31,"395,45",0002BB,353,3029,8.580736543909348
117,2019-01-01,2019-01-31,"378,02",0002BB,30,3033,101.1
118,2019-01-02,2019-02-28,"339,51",0002BB,57,2684,47.08771929824562
119,2019-01-03,2019-03-31,"376,16",0002BB,87,3008,34.57471264367816
120,2019-01-04,2019-04-30,"332,01",0002BB,116,2663,22.95689655172414
121,2019-01-05,2019-05-31,"339,86",0002BB,146,2741,18.773972602739725
122,2019-01-06,2019-06-30,"364,23",0002BB,175,2952,16.86857142857143
123,2019-01-07,2019-07-31,"363,68",0002BB,205,2914,14.214634146341464
124,2019-01-08,2019-08-31,"368,84",0002BB,235,2965,12.617021276595745
125,2019-01-09,2019-09-30,"352,21",0002BB,264,2819,10.678030303030303
126,2019-01-10,2019-10-31,"364,86",0002BB,294,2927,9.95578231292517
127,2019-01-11,2019-11-30,"346,35",0002BB,323,2773,8.58513931888545
128,2019-01-12,2019-12-31,"351,90",0002BB,353,2822,7.994334277620396
129,2020-01-01,2020-01-31,"406,02",0002BB,30,2830,94.33333333333333
130,2020-01-02,2020-02-29,"378,86",0002BB,58,2625,45.258620689655174
131,2020-01-03,2020-03-31,"396,33",0002BB,88,2734,31.068181818181817
132,2020-01-04,2020-04-30,"382,45",0002BB,117,2644,22.5982905982906
133,2020-01-05,2020-05-31,"397,69",0002BB,147,2753,18.727891156462587
134,2020-01-06,2020-06-30,"399,57",0002BB,176,2763,15.698863636363637
135,2020-01-07,2020-07-31,"418,43",0002BB,206,2904,14.097087378640778
136,2020-01-08,2020-08-31,"425,38",0002BB,236,2962,12.55084745762712
137,2020-01-09,2020-09-30,"406,82",0002BB,265,2828,10.671698113207547
138,2020-01-10,2020-10-31,"412,79",0002BB,295,2875,9.745762711864407
139,2020-01-11,2020-11-30,"381,14",0002BB,324,2739,8.453703703703704
140,2018-01-01,2018-01-31,"239,96",0002BR,30,2187,72.9
141,2018-01-02,2018-02-28,"218,51",0002BR,57,1985,34.824561403508774
142,2018-01-03,2018-03-31,"242,16",0002BR,87,2209,25.39080459770115
143,2018-01-04,2018-04-30,"235,47",0002BR,116,2151,18.54310344827586
144,2018-01-05,2018-05-31,"245,79",0002BR,146,2251,15.417808219178083
145,2018-01-06,2018-06-30,"241,00",0002BR,175,2207,12.611428571428572
146,2018-01-07,2018-07-31,"249,83",0002BR,205,2290,11.170731707317072
147,2018-01-08,2018-08-31,"252,45",0002BR,235,2316,9.85531914893617
148,2018-01-09,2018-09-30,"239,10",0002BR,264,2172,8.227272727272727
149,2018-01-10,2018-10-31,"244,03",0002BR,294,2216,7.537414965986395
150,2018-01-11,2018-11-30,"254,38",0002BR,323,2313,7.1609907120743035
151,2018-01-12,2018-12-31,"290,96",0002BR,353,2659,7.53257790368272
152,2019-01-01,2019-01-31,"284,26",0002BR,30,2662,88.73333333333333
153,2019-01-02,2019-02-28,"257,94",0002BR,57,2409,42.26315789473684
154,2019-01-03,2019-03-31,"288,61",0002BR,87,2707,31.114942528735632
155,2019-01-04,2019-04-30,"279,83",0002BR,116,2624,22.620689655172413
156,2019-01-05,2019-05-31,"289,18",0002BR,146,2715,18.595890410958905
157,2019-01-06,2019-06-30,"291,44",0002BR,175,2741,15.662857142857144
158,2019-01-07,2019-07-31,"298,72",0002BR,205,2812,13.717073170731707
159,2019-01-08,2019-08-31,"269,82",0002BR,235,2537,10.795744680851064
160,2019-01-09,2019-09-30,"257,19",0002BR,264,2414,9.143939393939394
161,2019-01-10,2019-10-31,"265,07",0002BR,294,2489,8.465986394557824
162,2019-01-11,2019-11-30,"257,13",0002BR,323,2410,7.461300309597523
163,2019-01-12,2019-12-31,"265,86",0002BR,353,2493,7.062322946175637
164,2020-01-01,2020-01-31,"319,43",0002BR,30,2513,83.76666666666667
165,2020-01-02,2020-02-29,"305,19",0002BR,58,2400,41.37931034482759
166,2020-01-03,2020-03-31,"333,77",0002BR,88,2646,30.068181818181817
167,2020-01-04,2020-04-30,"337,00",0002BR,117,2674,22.854700854700855
168,2020-01-05,2020-05-31,"334,85",0002BR,147,2651,18.034013605442176
169,2020-01-06,2020-06-30,"326,84",0002BR,176,2586,14.693181818181818
170,2020-01-07,2020-07-31,"347,07",0002BR,206,2751,13.354368932038835
171,2020-01-08,2020-08-31,"350,62",0002BR,236,2780,11.779661016949152
172,2020-01-09,2020-09-30,"335,86",0002BR,265,2660,10.037735849056604
173,2020-01-10,2020-10-31,"346,36",0002BR,295,2745,9.305084745762711
174,2020-01-11,2020-11-30,"331,97",0002BR,324,2628,8.11111111111111
175,2018-01-01,2018-01-31,"286,36",0002KO,30,2312,77.06666666666666
176,2018-01-02,2018-02-28,"259,13",0002KO,57,2086,36.59649122807018
177,2018-01-03,2018-03-31,"285,88",0002KO,87,2308,26.528735632183906
178,2018-01-04,2018-04-30,"278,29",0002KO,116,2245,19.353448275862068
179,2018-01-05,2018-05-31,"289,61",0002KO,146,2339,16.02054794520548
180,2018-01-06,2018-06-30,"282,26",0002KO,175,2278,13.017142857142858
181,2018-01-07,2018-07-31,"290,86",0002KO,205,2348,11.453658536585365
182,2018-01-08,2018-08-31,"293,27",0002KO,235,2368,10.076595744680851
183,2018-01-09,2018-09-30,"280,57",0002KO,264,2248,8.515151515151516
184,2018-01-10,2018-10-31,"286,88",0002KO,294,2300,7.8231292517006805
185,2018-01-11,2018-11-30,"322,68",0002KO,323,2595,8.034055727554179
186,2018-01-12,2018-12-31,"343,31",0002KO,353,2765,7.8328611898017
187,2019-01-01,2019-01-31,"377,48",0002KO,30,2766,92.2
188,2019-01-02,2019-02-28,"341,94",0002KO,57,2500,43.85964912280702
189,2019-01-03,2019-03-31,"362,25",0002KO,87,2652,30.482758620689655
190,2019-01-04,2019-04-30,"339,67",0002KO,116,2483,21.405172413793103
191,2019-01-05,2019-05-31,"348,35",0002KO,146,2548,17.45205479452055
192,2019-01-06,2019-06-30,"343,81",0002KO,175,2514,14.365714285714287
193,2019-01-07,2019-07-31,"349,55",0002KO,205,2557,12.473170731707317
194,2019-01-08,2019-08-31,"351,96",0002KO,235,2575,10.957446808510639
195,2019-01-09,2019-09-30,"338,33",0002KO,264,2473,9.367424242424242
196,2019-01-10,2019-10-31,"348,62",0002KO,294,2550,8.673469387755102
197,2019-01-11,2019-11-30,"336,86",0002KO,323,2462,7.622291021671827
198,2019-01-12,2019-12-31,"344,61",0002KO,353,2520,7.138810198300283
199,2020-01-01,2020-01-31,"343,21",0002KO,30,2524,84.13333333333334
200,2020-01-02,2020-02-29,"331,69",0002KO,58,2437,42.01724137931034
201,2020-01-03,2020-03-31,"356,33",0002KO,88,2623,29.806818181818183
202,2020-01-04,2020-04-30,"357,52",0002KO,117,2632,22.495726495726494
203,2020-01-05,2020-05-31,"368,52",0002KO,147,2715,18.46938775510204
204,2020-01-06,2020-06-30,"360,57",0002KO,176,2655,15.085227272727273
205,2020-01-07,2020-07-31,"378,98",0002KO,206,2794,13.563106796116505
206,2020-01-08,2020-08-31,"385,74",0002KO,236,2845,12.055084745762711
207,2020-01-09,2020-09-30,"369,97",0002KO,265,2726,10.28679245283019
208,2020-01-10,2020-10-31,"379,38",0002KO,295,2797,9.48135593220339
209,2020-01-11,2020-11-30,"363,62",0002KO,324,2678,8.265432098765432
210,2018-01-01,2018-01-31,"271,90",0003BB,30,2100,70.0
211,2018-01-02,2018-02-28,"246,46",0003BB,57,1897,33.280701754385966
212,2018-01-03,2018-03-31,"272,70",0003BB,87,2103,24.17241379310345
213,2018-01-04,2018-04-30,"267,67",0003BB,116,2062,17.775862068965516
214,2018-01-05,2018-05-31,"278,24",0003BB,146,2144,14.684931506849315
215,2018-01-06,2018-06-30,"311,78",0003BB,175,2409,13.765714285714285
216,2018-01-07,2018-07-31,"345,06",0003BB,205,2675,13.048780487804878
217,2018-01-08,2018-08-31,"348,81",0003BB,235,2701,11.493617021276595
218,2018-01-09,2018-09-30,"280,38",0003BB,264,2147,8.132575757575758
219,2018-01-10,2018-10-31,"394,40",0003BB,294,3052,10.380952380952381
220,2018-01-11,2018-11-30,"327,92",0003BB,323,2527,7.823529411764706
221,2018-01-12,2018-12-31,"354,90",0003BB,353,2742,7.767705382436261
222,2019-01-01,2019-01-31,"337,04",0003BB,30,2729,90.96666666666667
223,2019-01-02,2019-02-28,"291,99",0003BB,57,2353,41.280701754385966
224,2019-01-03,2019-03-31,"319,91",0003BB,87,2587,29.735632183908045
225,2019-01-04,2019-04-30,"296,52",0003BB,116,2392,20.620689655172413
226,2019-01-05,2019-05-31,"306,30",0003BB,146,2476,16.958904109589042
227,2019-01-06,2019-06-30,"331,24",0003BB,175,2673,15.274285714285714
228,2019-01-07,2019-07-31,"352,67",0003BB,205,2849,13.897560975609757
229,2019-01-08,2019-08-31,"354,63",0003BB,235,2868,12.204255319148936
230,2019-01-09,2019-09-30,"338,53",0003BB,264,2739,10.375
231,2019-01-10,2019-10-31,"349,45",0003BB,294,2832,9.63265306122449
232,2019-01-11,2019-11-30,"333,53",0003BB,323,2700,8.359133126934985
233,2019-01-12,2019-12-31,"341,07",0003BB,353,2764,7.830028328611898
234,2020-01-01,2020-01-31,"392,85",0003BB,30,2765,92.16666666666667
235,2020-01-02,2020-02-29,"364,42",0003BB,58,2544,43.86206896551724
236,2020-01-03,2020-03-31,"383,97",0003BB,88,2671,30.352272727272727
237,2020-01-04,2020-04-30,"373,97",0003BB,117,2608,22.29059829059829
238,2020-01-05,2020-05-31,"385,30",0003BB,147,2691,18.306122448979593
239,2020-01-06,2020-06-30,"381,63",0003BB,176,2663,15.130681818181818
240,2020-01-07,2020-07-31,"398,15",0003BB,206,2789,13.53883495145631
241,2020-01-08,2020-08-31,"404,26",0003BB,236,2839,12.029661016949152
242,2020-01-09,2020-09-30,"386,06",0003BB,265,2709,10.222641509433963
243,2020-01-10,2020-10-31,"393,20",0003BB,295,2765,9.372881355932204
244,2020-01-11,2020-11-30,"366,39",0003BB,324,2642,8.154320987654321
245,2018-01-01,2018-01-31,"266,44",0003BR,30,2437,81.23333333333333
246,2018-01-02,2018-02-28,"241,91",0003BR,57,2206,38.70175438596491
247,2018-01-03,2018-03-31,"267,32",0003BR,87,2446,28.114942528735632
248,2018-01-04,2018-04-30,"264,79",0003BR,116,2423,20.887931034482758
249,2018-01-05,2018-05-31,"276,25",0003BR,146,2532,17.34246575342466
250,2018-01-06,2018-06-30,"270,43",0003BR,175,2478,14.16
251,2018-01-07,2018-07-31,"278,84",0003BR,205,2556,12.46829268292683
252,2018-01-08,2018-08-31,"283,15",0003BR,235,2598,11.05531914893617
253,2018-01-09,2018-09-30,"269,79",0003BR,264,2453,9.291666666666666
254,2018-01-10,2018-10-31,"275,51",0003BR,294,2506,8.523809523809524
255,2018-01-11,2018-11-30,"265,07",0003BR,323,2409,7.458204334365325
256,2018-01-12,2018-12-31,"270,01",0003BR,353,2455,6.954674220963173
257,2019-01-01,2019-01-31,"264,75",0003BR,30,2467,82.23333333333333
258,2019-01-02,2019-02-28,"240,77",0003BR,57,2237,39.24561403508772
259,2019-01-03,2019-03-31,"267,47",0003BR,87,2494,28.666666666666668
260,2019-01-04,2019-04-30,"260,39",0003BR,116,2426,20.913793103448278
261,2019-01-05,2019-05-31,"270,73",0003BR,146,2526,17.301369863013697
262,2019-01-06,2019-06-30,"274,67",0003BR,175,2566,14.662857142857144
263,2019-01-07,2019-07-31,"280,06",0003BR,205,2618,12.770731707317074
264,2019-01-08,2019-08-31,"279,72",0003BR,235,2615,11.127659574468085
265,2019-01-09,2019-09-30,"266,17",0003BR,264,2484,9.409090909090908
266,2019-01-10,2019-10-31,"291,59",0003BR,294,2736,9.306122448979592
267,2019-01-11,2019-11-30,"279,31",0003BR,323,2617,8.102167182662539
268,2019-01-12,2019-12-31,"283,77",0003BR,353,2660,7.5354107648725215
269,2020-01-01,2020-01-31,"338,47",0003BR,30,2662,88.73333333333333
270,2020-01-02,2020-02-29,"321,27",0003BR,58,2524,43.51724137931034
271,2020-01-03,2020-03-31,"340,71",0003BR,88,2694,30.613636363636363
272,2020-01-04,2020-04-30,"341,86",0003BR,117,2704,23.11111111111111
273,2020-01-05,2020-05-31,"353,83",0003BR,147,2801,19.05442176870748
274,2020-01-06,2020-06-30,"346,60",0003BR,176,2743,15.585227272727273
275,2020-01-07,2020-07-31,"368,35",0003BR,206,2920,14.174757281553399
276,2020-01-08,2020-08-31,"362,49",0003BR,236,2872,12.169491525423728
277,2020-01-09,2020-09-30,"355,93",0003BR,265,2818,10.633962264150943
278,2020-01-10,2020-10-31,"361,39",0003BR,295,2862,9.701694915254237
279,2020-01-11,2020-11-30,"346,21",0003BR,324,2739,8.453703703703704
280,2018-01-01,2018-03-31,"985,04",0003KO,89,6293,70.70786516853933
281,2018-01-04,2018-06-30,"1 118,25",0003KO,177,7082,40.01129943502825
282,2018-01-07,2018-09-30,"1 066,96",0003KO,266,6740,25.338345864661655
283,2018-01-10,2018-12-31,"1 331,26",0003KO,355,8423,23.72676056338028
284,2019-01-01,2019-03-31,"1 373,30",0003KO,89,7883,88.57303370786516
285,2019-01-04,2019-06-30,"1 229,28",0003KO,177,7024,39.68361581920904
286,2019-01-07,2019-09-30,"1 251,45",0003KO,266,7143,26.853383458646615
287,2019-01-10,2019-12-31,"1 345,33",0003KO,355,7707,21.70985915492958
288,2020-01-01,2020-03-31,"1 058,29",0003KO,90,6561,72.9
289,2020-01-04,2020-06-30,"1 220,24",0003KO,178,7511,42.19662921348315
290,2020-01-07,2020-09-30,"1 270,14",0003KO,267,7823,29.299625468164795
291,2018-01-01,2018-01-31,"1 369,33",0004BB,30,0,0.0
292,2018-01-02,2018-02-28,"1 171,16",0004BB,57,0,0.0
293,2018-01-03,2018-03-31,"1 220,66",0004BB,87,0,0.0
294,2018-01-04,2018-04-30,"1 380,83",0004BB,116,0,0.0
295,2018-01-05,2018-05-31,"1 381,97",0004BB,146,0,0.0
296,2018-01-06,2018-06-30,"1 366,01",0004BB,175,0,0.0
297,2018-01-07,2018-07-31,"1 511,17",0004BB,205,0,0.0
298,2018-01-08,2018-08-31,"1 491,60",0004BB,235,0,0.0
299,2018-01-09,2018-09-30,"1 476,68",0004BB,264,0,0.0
300,2018-01-10,2018-10-31,"1 395,65",0004BB,294,0,0.0
301,2018-01-11,2018-11-30,"1 399,16",0004BB,323,0,0.0
302,2018-01-12,2018-12-31,"1 441,53",0004BB,353,0,0.0
303,2019-01-01,2019-01-31,"1 246,83",0004BB,30,9410,313.6666666666667
304,2019-01-01,2019-01-31,"2 026,85",0004BB,30,0,0.0
305,2019-01-02,2019-02-28,"1 822,67",0004BB,57,0,0.0
306,2019-01-03,2019-03-31,"2 094,83",0004BB,87,0,0.0
307,2019-01-04,2019-04-30,"1 866,93",0004BB,116,0,0.0
308,2019-01-05,2019-05-31,"1 865,73",0004BB,146,0,0.0
309,2019-01-06,2019-06-30,"2 257,01",0004BB,175,0,0.0
310,2019-01-07,2019-07-31,"1 975,05",0004BB,205,0,0.0
311,2019-01-08,2019-08-31,"1 939,54",0004BB,235,0,0.0
312,2019-01-09,2019-09-30,"1 484,00",0004BB,264,0,0.0
313,2019-01-10,2019-10-31,"1 599,01",0004BB,294,0,0.0
314,2019-01-11,2019-11-30,"1 481,88",0004BB,323,0,0.0
315,2019-01-12,2019-12-31,"1 312,28",0004BB,353,9904,28.056657223796034
316,2020-01-01,2020-01-31,"1 246,83",0004BB,30,9410,313.6666666666667
317,2020-01-02,2020-02-29,"1 254,11",0004BB,58,9465,163.18965517241378
318,2020-01-03,2020-03-31,"1 172,49",0004BB,88,8849,100.55681818181819
319,2020-01-04,2020-04-30,"1 220,86",0004BB,117,9214,78.75213675213675
320,2020-01-05,2020-05-31,"1 309,50",0004BB,147,9883,67.2312925170068
321,2020-01-06,2020-06-30,"1 199,13",0004BB,176,9050,51.42045454545455
322,2020-01-07,2020-07-31,"1 299,69",0004BB,206,9809,47.616504854368934
323,2020-01-08,2020-08-31,"1 319,97",0004BB,236,9962,42.21186440677966
324,2020-01-09,2020-09-30,"1 204,69",0004BB,265,9092,34.30943396226415
325,2020-01-10,2020-10-31,"1 144,80",0004BB,295,8640,29.28813559322034
326,2020-01-11,2020-11-30,"1 155,40",0004BB,324,8720,26.91358024691358
327,2018-01-01,2018-01-31,"244,43",0004BR,30,2276,75.86666666666666
328,2018-01-02,2018-02-28,"221,74",0004BR,57,2057,36.08771929824562
329,2018-01-03,2018-03-31,"245,26",0004BR,87,2284,26.25287356321839
330,2018-01-04,2018-04-30,"242,04",0004BR,116,2253,19.42241379310345
331,2018-01-05,2018-05-31,"251,58",0004BR,146,2345,16.061643835616437
332,2018-01-06,2018-06-30,"252,33",0004BR,175,2297,13.125714285714286
333,2018-01-07,2018-07-31,"262,18",0004BR,205,2389,11.653658536585366
334,2018-01-08,2018-08-31,"264,73",0004BR,235,2414,10.272340425531915
335,2018-01-09,2018-09-30,"253,64",0004BR,264,2292,8.681818181818182
336,2018-01-10,2018-10-31,"260,41",0004BR,294,2355,8.010204081632653
337,2018-01-11,2018-11-30,"249,82",0004BR,323,2256,6.984520123839009
338,2018-01-12,2018-12-31,"255,61",0004BR,353,2310,6.543909348441926
339,2019-01-01,2019-01-31,"249,80",0004BR,30,2313,77.1
340,2019-01-02,2019-02-28,"227,38",0004BR,57,2098,36.80701754385965
341,2019-01-03,2019-03-31,"251,13",0004BR,87,2326,26.735632183908045
342,2019-01-04,2019-04-30,"244,61",0004BR,116,2264,19.517241379310345
343,2019-01-05,2019-05-31,"253,85",0004BR,146,2353,16.116438356164384
344,2019-01-06,2019-06-30,"253,04",0004BR,175,2347,13.411428571428571
345,2019-01-07,2019-07-31,"258,77",0004BR,205,2402,11.717073170731707
346,2019-01-08,2019-08-31,"258,84",0004BR,235,2403,10.225531914893617
347,2019-01-09,2019-09-30,"246,13",0004BR,264,2280,8.636363636363637
348,2019-01-10,2019-10-31,"279,47",0004BR,294,2610,8.877551020408163
349,2019-01-11,2019-11-30,"270,28",0004BR,323,2522,7.808049535603715
350,2019-01-12,2019-12-31,"277,13",0004BR,353,2588,7.331444759206799
351,2020-01-01,2020-01-31,"331,44",0004BR,30,2599,86.63333333333334
352,2020-01-02,2020-02-29,"313,42",0004BR,58,2454,42.310344827586206
353,2020-01-03,2020-03-31,"330,33",0004BR,88,2603,29.579545454545453
354,2020-01-04,2020-04-30,"331,85",0004BR,117,2616,22.358974358974358
355,2020-01-05,2020-05-31,"341,35",0004BR,147,2693,18.31972789115646
356,2020-01-06,2020-06-30,"332,51",0004BR,176,2622,14.897727272727273
357,2020-01-07,2020-07-31,"349,96",0004BR,206,2764,13.41747572815534
358,2020-01-08,2020-08-31,"354,84",0004BR,236,2804,11.88135593220339
359,2020-01-09,2020-09-30,"342,00",0004BR,265,2700,10.18867924528302
